"","X","sex.x","subject_name.x","YAG.x","SECTIONNAME.x","YAG.y","SECTIONNAME.y","count","qualification_TR.x"
"14623",14623,"F+M","Medical sciences",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"MANUFACTURING",405,"First degree"
"14624",14624,"F+M","Medical sciences",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"TRANSPORTATION AND STORAGE",2883,"First degree"
"14625",14625,"F+M","Medical sciences",3,"CONSTRUCTION",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",1079,"First degree"
"14626",14626,"F+M","Medical sciences",3,"EDUCATION",5,"INFORMATION AND COMMUNICATION",1611,"First degree"
"14627",14627,"F+M","Medical sciences",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"ARTS, ENTERTAINMENT AND RECREATION",1250,"First degree"
"14628",14628,"F+M","Medical sciences",3,"INFORMATION AND COMMUNICATION",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",548,"First degree"
"14629",14629,"F+M","Medical sciences",3,"INFORMATION AND COMMUNICATION",5,"CONSTRUCTION",1653,"First degree"
"14630",14630,"F+M","Medical sciences",3,"OTHER SERVICE ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",415,"First degree"
"14631",14631,"F+M","Medical sciences",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",1477,"First degree"
"14632",14632,"F+M","Medical sciences",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",849,"First degree"
"14633",14633,"F+M","Medical sciences",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"EDUCATION",255,"First degree"
"14634",14634,"F+M","Medical sciences",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",1006,"First degree"
"14635",14635,"F+M","Medical sciences",3,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",5,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",918,"First degree"
"14636",14636,"F+M","Medical sciences",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"EDUCATION",108,"First degree"
"14637",14637,"F+M","Medicine and dentistry",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",318,"First degree"
"14638",14638,"F+M","Medicine and dentistry",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"MANUFACTURING",370,"First degree"
"14639",14639,"F+M","Medicine and dentistry",3,"REAL ESTATE ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",2618,"First degree"
"14640",14640,"F+M","Medicine and dentistry",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",2722,"First degree"
"14641",14641,"F+M","Nursing and midwifery",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",1776,"First degree"
"14642",14642,"F+M","Nursing and midwifery",3,"ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",5,"ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",1577,"First degree"
"14643",14643,"F+M","Nursing and midwifery",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",457,"First degree"
"14644",14644,"F+M","Nursing and midwifery",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"MANUFACTURING",1829,"First degree"
"14645",14645,"F+M","Nursing and midwifery",3,"EDUCATION",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",2125,"First degree"
"14646",14646,"F+M","Nursing and midwifery",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"MANUFACTURING",820,"First degree"
"14647",14647,"F+M","Nursing and midwifery",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"REAL ESTATE ACTIVITIES",163,"First degree"
"14648",14648,"F+M","Nursing and midwifery",3,"OTHER SERVICE ACTIVITIES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",373,"First degree"
"14649",14649,"F+M","Nursing and midwifery",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",740,"First degree"
"14650",14650,"F+M","Nursing and midwifery",3,"REAL ESTATE ACTIVITIES",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",968,"First degree"
"14651",14651,"F+M","Nursing and midwifery",3,"REAL ESTATE ACTIVITIES",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",1655,"First degree"
"14652",14652,"F+M","Performing arts",3,"ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",5,"EDUCATION",653,"First degree"
"14653",14653,"F+M","Performing arts",3,"ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",1777,"First degree"
"14654",14654,"F+M","Performing arts",3,"AGRICULTURE, FORESTRY AND FISHING",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",178,"First degree"
"14655",14655,"F+M","Performing arts",3,"CONSTRUCTION",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",756,"First degree"
"14656",14656,"F+M","Performing arts",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",298,"First degree"
"14657",14657,"F+M","Performing arts",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"INFORMATION AND COMMUNICATION",58,"First degree"
"14658",14658,"F+M","Performing arts",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"TRANSPORTATION AND STORAGE",793,"First degree"
"14659",14659,"F+M","Performing arts",3,"INFORMATION AND COMMUNICATION",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",549,"First degree"
"14660",14660,"F+M","Performing arts",3,"MANUFACTURING",5,"AGRICULTURE, FORESTRY AND FISHING",402,"First degree"
"14661",14661,"F+M","Performing arts",3,"MANUFACTURING",5,"ARTS, ENTERTAINMENT AND RECREATION",51,"First degree"
"14662",14662,"F+M","Performing arts",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"REAL ESTATE ACTIVITIES",158,"First degree"
"14663",14663,"F+M","Performing arts",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",1173,"First degree"
"14664",14664,"F+M","Performing arts",3,"REAL ESTATE ACTIVITIES",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",1967,"First degree"
"14665",14665,"F+M","Performing arts",3,"REAL ESTATE ACTIVITIES",5,"ARTS, ENTERTAINMENT AND RECREATION",2903,"First degree"
"14666",14666,"F+M","Performing arts",3,"REAL ESTATE ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",477,"First degree"
"14667",14667,"F+M","Performing arts",3,"REAL ESTATE ACTIVITIES",5,"INFORMATION AND COMMUNICATION",200,"First degree"
"14668",14668,"F+M","Performing arts",3,"TRANSPORTATION AND STORAGE",5,"ARTS, ENTERTAINMENT AND RECREATION",1080,"First degree"
"14669",14669,"F+M","Performing arts",3,"TRANSPORTATION AND STORAGE",5,"INFORMATION AND COMMUNICATION",1474,"First degree"
"14670",14670,"F+M","Performing arts",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"AGRICULTURE, FORESTRY AND FISHING",789,"First degree"
"14671",14671,"F+M","Performing arts",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",1405,"First degree"
"14672",14672,"F+M","Performing arts",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",2589,"First degree"
"14673",14673,"F+M","Pharmacology, toxicology and pharmacy",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"ARTS, ENTERTAINMENT AND RECREATION",1978,"First degree"
"14674",14674,"F+M","Pharmacology, toxicology and pharmacy",3,"EDUCATION",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1379,"First degree"
"14675",14675,"F+M","Pharmacology, toxicology and pharmacy",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",1002,"First degree"
"14676",14676,"F+M","Pharmacology, toxicology and pharmacy",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"MANUFACTURING",612,"First degree"
"14677",14677,"F+M","Pharmacology, toxicology and pharmacy",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"OTHER SERVICE ACTIVITIES",1411,"First degree"
"14678",14678,"F+M","Pharmacology, toxicology and pharmacy",3,"INFORMATION AND COMMUNICATION",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",1640,"First degree"
"14679",14679,"F+M","Pharmacology, toxicology and pharmacy",3,"REAL ESTATE ACTIVITIES",5,"REAL ESTATE ACTIVITIES",2229,"First degree"
"14680",14680,"F+M","Philosophy and religious studies",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",2456,"First degree"
"14681",14681,"F+M","Philosophy and religious studies",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",1268,"First degree"
"14682",14682,"F+M","Philosophy and religious studies",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1542,"First degree"
"14683",14683,"F+M","Philosophy and religious studies",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"CONSTRUCTION",977,"First degree"
"14684",14684,"F+M","Philosophy and religious studies",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"MANUFACTURING",1583,"First degree"
"14685",14685,"F+M","Philosophy and religious studies",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"REAL ESTATE ACTIVITIES",674,"First degree"
"14686",14686,"F+M","Philosophy and religious studies",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",1341,"First degree"
"14687",14687,"F+M","Philosophy and religious studies",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1541,"First degree"
"14688",14688,"F+M","Philosophy and religious studies",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"FINANCIAL AND INSURANCE ACTIVITIES",2213,"First degree"
"14689",14689,"F+M","Philosophy and religious studies",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"REAL ESTATE ACTIVITIES",753,"First degree"
"14690",14690,"F+M","Philosophy and religious studies",3,"INFORMATION AND COMMUNICATION",5,"CONSTRUCTION",649,"First degree"
"14691",14691,"F+M","Philosophy and religious studies",3,"INFORMATION AND COMMUNICATION",5,"OTHER SERVICE ACTIVITIES",2204,"First degree"
"14692",14692,"F+M","Philosophy and religious studies",3,"MINING AND QUARRYING",5,"MANUFACTURING",2217,"First degree"
"14693",14693,"F+M","Philosophy and religious studies",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"ARTS, ENTERTAINMENT AND RECREATION",2114,"First degree"
"14694",14694,"F+M","Philosophy and religious studies",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",363,"First degree"
"14695",14695,"F+M","Philosophy and religious studies",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"FINANCIAL AND INSURANCE ACTIVITIES",548,"First degree"
"14696",14696,"F+M","Philosophy and religious studies",3,"REAL ESTATE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",843,"First degree"
"14697",14697,"F+M","Philosophy and religious studies",3,"REAL ESTATE ACTIVITIES",5,"INFORMATION AND COMMUNICATION",933,"First degree"
"14698",14698,"F+M","Philosophy and religious studies",3,"TRANSPORTATION AND STORAGE",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",29,"First degree"
"14699",14699,"F+M","Philosophy and religious studies",3,"TRANSPORTATION AND STORAGE",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1044,"First degree"
"14700",14700,"F+M","Philosophy and religious studies",3,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",5,"INFORMATION AND COMMUNICATION",2587,"First degree"
"14701",14701,"F+M","Philosophy and religious studies",3,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",5,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",559,"First degree"
"14702",14702,"F+M","Philosophy and religious studies",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"REAL ESTATE ACTIVITIES",1208,"First degree"
"14703",14703,"F+M","Physics and astronomy",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",879,"First degree"
"14704",14704,"F+M","Physics and astronomy",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"INFORMATION AND COMMUNICATION",1408,"First degree"
"14705",14705,"F+M","Physics and astronomy",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1050,"First degree"
"14706",14706,"F+M","Physics and astronomy",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"CONSTRUCTION",1030,"First degree"
"14707",14707,"F+M","Physics and astronomy",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"MANUFACTURING",722,"First degree"
"14708",14708,"F+M","Physics and astronomy",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",2516,"First degree"
"14709",14709,"F+M","Physics and astronomy",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"TRANSPORTATION AND STORAGE",1073,"First degree"
"14710",14710,"F+M","Physics and astronomy",3,"EDUCATION",5,"INFORMATION AND COMMUNICATION",1170,"First degree"
"14711",14711,"F+M","Physics and astronomy",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"ARTS, ENTERTAINMENT AND RECREATION",1031,"First degree"
"14712",14712,"F+M","Physics and astronomy",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",733,"First degree"
"14713",14713,"F+M","Physics and astronomy",3,"INFORMATION AND COMMUNICATION",5,"EDUCATION",512,"First degree"
"14714",14714,"F+M","Physics and astronomy",3,"INFORMATION AND COMMUNICATION",5,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",3407,"First degree"
"14715",14715,"F+M","Physics and astronomy",3,"INFORMATION AND COMMUNICATION",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",649,"First degree"
"14716",14716,"F+M","Physics and astronomy",3,"INFORMATION AND COMMUNICATION",5,"OTHER SERVICE ACTIVITIES",1744,"First degree"
"14717",14717,"F+M","Physics and astronomy",3,"MANUFACTURING",5,"EDUCATION",1598,"First degree"
"14718",14718,"F+M","Physics and astronomy",3,"MANUFACTURING",5,"INFORMATION AND COMMUNICATION",1597,"First degree"
"14719",14719,"F+M","Physics and astronomy",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"OTHER SERVICE ACTIVITIES",328,"First degree"
"14720",14720,"F+M","Physics and astronomy",3,"REAL ESTATE ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",623,"First degree"
"14721",14721,"F+M","Politics",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"ARTS, ENTERTAINMENT AND RECREATION",453,"First degree"
"14722",14722,"F+M","Politics",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"REAL ESTATE ACTIVITIES",42,"First degree"
"14723",14723,"F+M","Politics",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",30,"First degree"
"14724",14724,"F+M","Politics",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",472,"First degree"
"14725",14725,"F+M","Politics",3,"CONSTRUCTION",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",1717,"First degree"
"14726",14726,"F+M","Politics",3,"CONSTRUCTION",5,"INFORMATION AND COMMUNICATION",2390,"First degree"
"14727",14727,"F+M","Politics",3,"EDUCATION",5,"FINANCIAL AND INSURANCE ACTIVITIES",230,"First degree"
"14728",14728,"F+M","Politics",3,"EDUCATION",5,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",259,"First degree"
"14729",14729,"F+M","Politics",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"MANUFACTURING",49,"First degree"
"14730",14730,"F+M","Politics",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",388,"First degree"
"14731",14731,"F+M","Politics",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"REAL ESTATE ACTIVITIES",485,"First degree"
"14732",14732,"F+M","Politics",3,"INFORMATION AND COMMUNICATION",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",2704,"First degree"
"14733",14733,"F+M","Politics",3,"MANUFACTURING",5,"EDUCATION",882,"First degree"
"14734",14734,"F+M","Politics",3,"MANUFACTURING",5,"INFORMATION AND COMMUNICATION",828,"First degree"
"14735",14735,"F+M","Politics",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"TRANSPORTATION AND STORAGE",1033,"First degree"
"14736",14736,"F+M","Politics",3,"REAL ESTATE ACTIVITIES",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",3005,"First degree"
"14737",14737,"F+M","Politics",3,"REAL ESTATE ACTIVITIES",5,"EDUCATION",495,"First degree"
"14738",14738,"F+M","Politics",3,"REAL ESTATE ACTIVITIES",5,"OTHER SERVICE ACTIVITIES",840,"First degree"
"14739",14739,"F+M","Politics",3,"REAL ESTATE ACTIVITIES",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",100,"First degree"
"14740",14740,"F+M","Politics",3,"TRANSPORTATION AND STORAGE",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",666,"First degree"
"14741",14741,"F+M","Politics",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",941,"First degree"
"14742",14742,"F+M","Politics",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",5,"CONSTRUCTION",747,"First degree"
"14743",14743,"F+M","Psychology",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"ARTS, ENTERTAINMENT AND RECREATION",277,"First degree"
"14744",14744,"F+M","Psychology",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"REAL ESTATE ACTIVITIES",1362,"First degree"
"14745",14745,"F+M","Psychology",3,"ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",5,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",797,"First degree"
"14746",14746,"F+M","Psychology",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",5,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",880,"First degree"
"14747",14747,"F+M","Psychology",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"MANUFACTURING",1272,"First degree"
"14748",14748,"F+M","Psychology",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"REAL ESTATE ACTIVITIES",200,"First degree"
"14749",14749,"F+M","Psychology",3,"CONSTRUCTION",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",1353,"First degree"
"14750",14750,"F+M","Psychology",3,"CONSTRUCTION",5,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",988,"First degree"
"14751",14751,"F+M","Psychology",3,"EDUCATION",5,"ARTS, ENTERTAINMENT AND RECREATION",461,"First degree"
"14752",14752,"F+M","Psychology",3,"EDUCATION",5,"MANUFACTURING",1222,"First degree"
"14753",14753,"F+M","Psychology",3,"EDUCATION",5,"REAL ESTATE ACTIVITIES",1581,"First degree"
"14754",14754,"F+M","Psychology",3,"EDUCATION",5,"TRANSPORTATION AND STORAGE",257,"First degree"
"14755",14755,"F+M","Psychology",3,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",1333,"First degree"
"14756",14756,"F+M","Psychology",3,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",5,"CONSTRUCTION",2416,"First degree"
"14757",14757,"F+M","Psychology",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",418,"First degree"
"14758",14758,"F+M","Psychology",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"ARTS, ENTERTAINMENT AND RECREATION",2172,"First degree"
"14759",14759,"F+M","Psychology",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"OTHER SERVICE ACTIVITIES",534,"First degree"
"14760",14760,"F+M","Psychology",3,"MANUFACTURING",5,"ARTS, ENTERTAINMENT AND RECREATION",2580,"First degree"
"14761",14761,"F+M","Psychology",3,"MANUFACTURING",5,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",339,"First degree"
"14762",14762,"F+M","Psychology",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"ARTS, ENTERTAINMENT AND RECREATION",1101,"First degree"
"14763",14763,"F+M","Psychology",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"FINANCIAL AND INSURANCE ACTIVITIES",1001,"First degree"
"14764",14764,"F+M","Psychology",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",5,"REAL ESTATE ACTIVITIES",292,"First degree"
"14765",14765,"F+M","Psychology",3,"REAL ESTATE ACTIVITIES",5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",103,"First degree"
"14766",14766,"F+M","Psychology",3,"TRANSPORTATION AND STORAGE",5,"EDUCATION",949,"First degree"
"14767",14767,"F+M","Sociology, social policy and anthropology",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",5,"INFORMATION AND COMMUNICATION",1819,"First degree"
"14768",14768,"F+M","Sociology, social policy and anthropology",3,"AGRICULTURE, FORESTRY AND FISHING",5,"TRANSPORTATION AND STORAGE",23,"First degree"
"14769",14769,"F+M","Sociology, social policy and anthropology",3,"ARTS, ENTERTAINMENT AND RECREATION",5,"TRANSPORTATION AND STORAGE",1258,"First degree"
"14770",14770,"F+M","Sociology, social policy and anthropology",3,"CONSTRUCTION",5,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",1026,"First degree"
"14771",14771,"F+M","Sociology, social policy and anthropology",3,"CONSTRUCTION",5,"FINANCIAL AND INSURANCE ACTIVITIES",687,"First degree"
"14772",14772,"F+M","Sociology, social policy and anthropology",3,"EDUCATION",5,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",2140,"First degree"
"14773",14773,"F+M","Sociology, social policy and anthropology",3,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",5,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",13,"First degree"
"14774",14774,"F+M","Sociology, social policy and anthropology",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"ARTS, ENTERTAINMENT AND RECREATION",87,"First degree"
"14775",14775,"F+M","Sociology, social policy and anthropology",3,"FINANCIAL AND INSURANCE ACTIVITIES",5,"CONSTRUCTION",1116,"First degree"
"14776",14776,"F+M","Sociology, social policy and anthropology",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5,"ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",1553,"First degree"
"14777",14777,"F+M","Sociology, social policy and anthropology",3,"INFORMATION AND COMMUNICATION",5,"ARTS, ENTERTAINMENT AND RECREATION",2600,"First degree"
"14778",14778,"F+M","Sociology, social policy and anthropology",3,"MINING AND QUARRYING",5,"MINING AND QUARRYING",1872,"First degree"
"14779",14779,"F+M","Sociology, social policy and anthropology",3,"OTHER SERVICE ACTIVITIES",5,"REAL ESTATE ACTIVITIES",795,"First degree"
"14780",14780,"F+M","Sociology, social policy and anthropology",3,"OTHER SERVICE ACTIVITIES",5,"TRANSPORTATION AND STORAGE",894,"First degree"
"14781",14781,"F+M","Sociology, social policy and anthropology",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",5,"WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",571,"First degree"
